invoice_id,vendor,category,invoice_date,due_date,payment_terms,amount,tax_amount,label
INV-01034,Junction Marketing Group,Software License,2025-04-01,2025-05-16,Net 15,2863.11,343.57,Valid
INV-01306,Junction Marketing Group,Facilities,2025-02-16,2025-04-17,Net 60,2604.71,130.24,Valid
INV-01436,Crestline IT Services,IT Services,2025-07-15,2025-08-10,Net 30,1414.29,169.71,Duplicate
INV-01490,Greenfield Consulting,IT Services,2025-05-19,2025-06-28,Net 45,4251.21,765.22,Duplicate
INV-00789,Junction Marketing Group,Facilities,2026-02-09,2026-03-26,Net 60,2311.73,277.41,Valid
INV-00786,Greenfield Consulting,Logistics,2025-10-21,2025-12-20,Net 30,4117.68,741.18,Valid
INV-00985,Everline Facilities,Marketing,2025-05-16,2025-06-30,Net 15,6348.84,484.62,Amount Anomaly
INV-00899,Ironclad Security,Logistics,2025-04-26,2025-05-26,Net 60,1824.56,328.42,Valid
INV-00345,Everline Facilities,Office Supplies,2025-12-04,2026-01-18,Net 45,5.0,632.59,Amount Anomaly
INV-00245,Ironclad Security,Consulting,2025-09-02,2025-10-17,Net 45,5.0,172.31,Amount Anomaly
INV-00888,Apex Office Supplies,Security,2026-01-03,2026-01-18,Net 30,3164.09,569.54,Valid
INV-01125,Falcon Freight Co,Consulting,2026-01-24,2026-03-25,Net 60,360.85,18.04,Valid
INV-01467,Greenfield Consulting,Office Supplies,2025-05-20,2025-07-18,Net 45,4714.97,235.75,Duplicate
INV-01381,,Consulting,2025-02-07,2025-03-09,Net 60,2034.41,101.72,Missing Info
INV-00071,Crestline IT Services,Office Supplies,2025-11-05,2026-01-04,Net 45,5.0,250.84,Amount Anomaly
INV-00272,Falcon Freight Co,Software License,2025-10-30,2025-12-14,Net 30,1050.89,126.11,Valid
INV-00817,Horizon Software Inc,Logistics,2026-02-03,2026-03-20,Net 15,1088.88,130.67,Valid
INV-00999,Falcon Freight Co,Consulting,2025-08-13,2025-09-27,Net 15,1944.84,233.38,Valid
INV-00462,Crestline IT Services,Security,2025-10-03,2025-12-02,Net 15,1267.2,152.06,Valid
INV-00052,Everline Facilities,Office Supplies,2026-06-02,2026-08-01,Net 15,8544.63,456.33,Amount Anomaly
INV-00426,Ironclad Security,Office Supplies,2026-06-03,2026-08-02,Net 45,1853.81,333.69,Valid
INV-00452,Everline Facilities,Security,2025-08-19,2025-10-03,Net 60,3656.23,182.81,Valid
INV-00185,Apex Office Supplies,Consulting,2025-12-08,2026-01-07,Net 15,2459.32,122.97,Valid
INV-01214,Horizon Software Inc,Security,2026-01-01,2026-03-02,Net 15,1823.06,218.77,Valid
INV-00366,Apex Office Supplies,Consulting,2026-02-16,2026-04-17,Net 15,1726.6,86.33,Valid
INV-00421,Greenfield Consulting,IT Services,2025-10-15,2025-12-14,Net 30,4650.93,558.11,Valid
INV-01451,Ironclad Security,Logistics,2025-07-25,2025-08-22,Net 15,953.28,114.39,Duplicate
INV-01469,Falcon Freight Co,Security,2025-12-23,2026-01-18,Net 30,653.88,78.47,Duplicate
INV-01472,Junction Marketing Group,Facilities,2025-04-16,2025-05-29,Net 60,2589.3,466.07,Duplicate
INV-00706,Junction Marketing Group,Software License,2025-06-06,2025-07-21,Net 30,4859.19,230.89,Amount Anomaly
INV-00204,Bluewave Logistics,Marketing,2025-12-25,2026-02-08,Net 30,3836.47,191.82,Valid
INV-00482,Everline Facilities,Software License,2025-07-30,2025-08-29,Net 45,3091.64,556.5,Valid
INV-00803,Ironclad Security,Software License,2026-01-18,2026-02-17,Net 60,1907.54,228.9,Valid
INV-01498,Bluewave Logistics,Consulting,2026-05-11,2026-06-09,Net 30,4110.15,205.51,Duplicate
INV-00909,Delta Print Solutions,Software License,2025-08-11,2025-10-10,Net 60,1605.47,192.66,Valid
INV-00758,Ironclad Security,Marketing,2025-10-29,2025-12-13,Net 45,2323.59,116.18,Valid
INV-00351,Junction Marketing Group,Consulting,2025-04-25,2025-05-10,Net 30,2511.85,452.13,Valid
INV-00495,Everline Facilities,Software License,2025-05-01,2025-05-16,Net 45,3366.12,403.93,Valid
INV-00429,Apex Office Supplies,Consulting,2025-04-11,2025-05-26,Net 60,5.0,59.34,Amount Anomaly
INV-00077,Horizon Software Inc,Office Supplies,2026-02-14,2026-03-16,Net 15,2691.04,57.89,Amount Anomaly
INV-00592,Delta Print Solutions,Software License,2025-08-19,2025-09-18,Net 15,10.0,1.2,Valid
INV-00827,Apex Office Supplies,Marketing,2026-05-12,2026-07-11,Net 60,1325.99,238.68,Valid
INV-00902,Crestline IT Services,Security,2025-05-07,2025-05-22,Net 45,1241.12,62.06,Valid
INV-01458,Horizon Software Inc,IT Services,2026-05-10,2026-06-05,Net 60,1230.21,61.51,Duplicate
INV-01204,Apex Office Supplies,Facilities,2025-12-07,2026-01-06,Net 15,3827.54,459.3,Valid
INV-00354,Ironclad Security,Office Supplies,2026-03-02,2026-05-01,Net 60,4618.05,271.41,Amount Anomaly
INV-01085,Falcon Freight Co,Logistics,2025-04-26,2025-06-25,Net 15,1370.02,68.5,Valid
INV-00463,Bluewave Logistics,Facilities,2026-02-17,2026-04-03,Net 60,5392.1,970.58,Valid
INV-00307,Junction Marketing Group,Office Supplies,2026-04-27,2026-06-11,Net 15,2195.13,395.12,Valid
INV-01206,Crestline IT Services,Logistics,2025-02-12,2025-03-14,Net 60,1266.9,152.03,Valid
INV-01062,Ironclad Security,Software License,2026-01-08,2026-01-23,Net 45,1669.02,83.45,Valid
INV-01090,Falcon Freight Co,Software License,2026-02-12,2026-03-14,Net 45,10.0,1.8,Valid
INV-00597,Ironclad Security,IT Services,2026-01-19,2026-03-05,Net 60,1999.93,239.99,Valid
INV-00941,Falcon Freight Co,Marketing,2025-07-25,2025-08-24,Net 45,859.59,103.15,Valid
INV-00333,Delta Print Solutions,Facilities,2025-02-23,2025-03-10,Net 60,253.92,30.47,Valid
INV-00679,Horizon Software Inc,Facilities,2026-01-02,2026-01-17,Net 30,1453.67,261.66,Valid
INV-00050,Bluewave Logistics,IT Services,2025-05-18,2025-07-02,Net 30,626.79,224.9,Amount Anomaly
INV-01447,Bluewave Logistics,Security,2025-11-17,2025-12-30,Net 15,4127.59,742.97,Duplicate
INV-00248,Falcon Freight Co,IT Services,2025-04-16,2025-05-01,Net 30,5654.61,1.2,Amount Anomaly
INV-01400,Falcon Freight Co,Logistics,2025-01-24,2025-02-08,Net 45,1315.36,65.77,Valid
INV-01114,Everline Facilities,Logistics,2025-01-30,2025-02-14,Net 30,7162.75,170.04,Amount Anomaly
INV-01101,Crestline IT Services,IT Services,2026-05-19,2026-06-18,Net 45,1704.87,85.24,Valid
INV-01221,Falcon Freight Co,Logistics,2025-02-14,2025-04-15,Net 30,1899.45,227.93,Valid
INV-00068,Greenfield Consulting,Facilities,2025-03-13,2025-04-27,Net 15,5761.46,741.08,Amount Anomaly
INV-00811,Apex Office Supplies,Software License,2026-05-21,2026-06-20,Net 45,3394.59,407.35,Valid
INV-00491,Greenfield Consulting,IT Services,2025-09-02,2025-09-17,Net 60,2863.31,204.94,Amount Anomaly
INV-00310,Ironclad Security,Security,2025-10-23,2025-11-07,Net 45,1301.66,156.2,Valid
INV-01280,Delta Print Solutions,IT Services,2025-11-08,2026-01-07,Net 15,691.53,124.48,Valid
INV-01454,Falcon Freight Co,Consulting,2025-08-11,2025-08-21,Net 45,782.54,140.86,Duplicate
INV-01323,Bluewave Logistics,Consulting,2025-05-24,2025-07-08,Net 45,,431.1,Missing Info
INV-01109,Apex Office Supplies,Security,2025-05-21,2025-07-05,Net 60,3435.82,412.3,Valid
INV-01168,Delta Print Solutions,Office Supplies,2025-04-27,2025-05-27,Net 30,10.0,0.5,Valid
INV-00619,Greenfield Consulting,Facilities,2025-05-18,2025-07-02,Net 30,3994.34,479.32,Valid
INV-00528,Falcon Freight Co,Marketing,2025-08-08,2025-09-07,Net 60,1715.52,205.86,Valid
INV-01001,Bluewave Logistics,Logistics,2025-03-30,2025-04-29,Net 15,3455.85,414.7,Valid
INV-00352,,Consulting,2025-12-02,2026-01-31,Net 60,1204.72,60.24,Missing Info
INV-00311,Junction Marketing Group,Software License,2025-05-02,2025-06-01,Net 45,2795.66,139.78,Valid
